overall_rank,player,pos,pos_rank,team,bye,tier,delta_note
1,Jahmyr Gibbs,RB,RB1,DET,6,Elite,
2,Bijan Robinson,RB,RB2,ATL,11,Elite,
3,Jaxon Smith-Njigba,WR,WR1,SEA,11,Elite,"Model WR1. 35.8 percent target share, best in our v2 features"
4,Ja'Marr Chase,WR,WR2,CIN,6,Elite,
5,Puka Nacua,WR,WR3,LAR,11,Elite,
6,Christian McCaffrey,RB,RB3,SF,8,Elite,"Age 30 season. Only 16 of 240 RB1 finishes since 2006 came at 30 plus. Elite until proven otherwise, but the base rate is now against him"
7,Amon-Ra St. Brown,WR,WR4,DET,6,Elite,
8,Jonathan Taylor,RB,RB4,IND,13,Tier 1,
9,De'Von Achane,RB,RB5,MIA,6,Tier 1,
10,CeeDee Lamb,WR,WR5,DAL,14,Tier 1,"Model says WR16 off the 2025 dip. We side with consensus here; the dip was QB and injury noise, not usage decay"
11,James Cook,RB,RB6,BUF,7,Tier 1,
12,Justin Jefferson,WR,WR6,MIN,6,Tier 1,"Model says WR13 after the 2025 QB carousel. Kyler Murray stabilizes the position. We rank the talent, note the model's skepticism"
13,Chase Brown,RB,RB7,CIN,6,Tier 1,
14,Drake London,WR,WR7,ATL,11,Tier 1,"ATL QB is unresolved (Tua or Penix). Elite target share travels across QBs, but this is the risk in the profile"
15,Saquon Barkley,RB,RB8,PHI,10,Tier 1,
16,Rashee Rice,WR,WR8,KC,5,Tier 1,"Cleared for Week 1. Knee surgery May, jail time served, no further league discipline expected. 18.3 PPR PPG over his last 21 games"
17,A.J. Brown,WR,WR9,NE,11,Tier 1,"Alpha WRs keep their role on a team change at 58.7 percent in our WR study. Traded to NE June 1, reunites with Vrabel, Maye at QB"
18,Nico Collins,WR,WR10,HOU,8,Tier 2,
19,Ashton Jeanty,RB,RB9,LV,13,Tier 2,
20,Chris Olave,WR,WR11,NO,8,Tier 2,
21,Kenneth Walker III,RB,RB10,KC,5,Tier 2,Signed with KC. Andy Reid lead back with Pacheco gone to DET
22,Omarion Hampton,RB,RB11,LAC,7,Tier 2,
23,Garrett Wilson,WR,WR12,NYJ,13,Tier 2,Model WR4 on target share and per target efficiency. Consensus has him WR14 to 18. Geno Smith is the best QB he has ever had. This is a delta we will take
