rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0034857,Josh Allen,BUF,DET,1.0,20.432,13.42,20.501,29.642,0.644,5.0,1.0,0.0,4.922,0.066,0.593,28.952,223.203,0.0,0.92,1.0,0.0,6.0,29.0,1.0,0.0,0.0,6.5,28.875,0.96,0.0,29.0,0.006,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0039918,Caleb Williams,CHI,MIN,1.0,19.739,14.282,20.033,29.797,0.568,7.0,1.0,0.019,3.903,0.057,0.138,34.003,236.649,0.001,0.986,1.0,0.0,10.0,29.0,1.0,0.0,0.059,7.265,31.206,0.993,0.0,27.0,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0033873,Patrick Mahomes,KC,IND,1.0,18.966,12.437,19.033,27.889,0.586,20.0,1.0,0.005,3.55,0.061,0.171,35.924,255.542,0.0,0.97,1.0,0.0,7.0,27.0,1.0,0.0,0.036,5.786,31.429,0.985,0.0,27.0,0.059,-0.089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
4,00-0034796,Lamar Jackson,BAL,NO,1.0,18.501,10.44,18.608,29.337,0.533,1.0,1.0,0.0,3.705,0.062,0.08,22.789,180.404,0.0,0.92,1.0,0.0,7.0,25.0,1.0,0.0,0.0,6.077,24.115,0.96,0.0,27.5,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
5,00-0037834,Brock Purdy,SF,MIA,1.0,18.218,13.248,17.998,26.174,0.519,15.0,1.0,0.0,2.934,0.066,0.173,31.827,235.418,0.0,0.969,1.0,0.0,5.0,34.0,1.0,0.0,0.0,4.333,32.778,0.985,0.0,29.0,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0039851,Drake Maye,NE,PIT,1.0,17.422,12.292,17.957,25.832,0.458,10.0,1.0,0.006,4.612,0.053,0.16,28.606,241.035,0.0,0.955,1.0,0.0,7.0,33.0,1.0,0.0,0.029,6.529,30.971,0.978,0.0,23.5,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0036355,Justin Herbert,LAC,LV,1.0,17.258,11.834,17.307,27.382,0.425,4.0,1.0,0.0,4.119,0.057,0.233,32.44,233.996,0.0,0.965,1.0,0.0,5.0,27.0,1.0,0.0,0.0,5.094,29.5,0.982,0.0,25.25,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0036389,Jalen Hurts,PHI,TEN,0.0,17.164,11.119,16.957,26.436,0.466,3.0,1.0,0.0,5.085,0.053,0.466,27.811,196.879,0.0,0.973,1.0,0.0,7.0,25.0,1.0,0.0,0.0,6.781,26.688,0.987,0.0,23.25,0.182,-0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0039910,Jayden Daniels,WAS,DAL,0.0,17.122,11.155,17.032,26.245,0.45,11.0,1.0,0.0,3.016,0.053,0.138,26.143,179.415,0.0,0.901,1.0,0.0,5.0,34.0,1.0,0.0,0.0,6.643,30.429,0.951,0.0,23.5,0.243,0.047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0033077,Dak Prescott,DAL,WAS,1.0,16.661,10.471,16.419,26.479,0.408,6.0,1.0,0.0,3.212,0.061,0.19,36.086,269.133,0.0,0.946,1.0,0.0,2.0,34.0,1.0,0.0,0.0,2.559,34.647,0.973,0.0,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
