rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_snap_share,sd_target_share,b_targets,b_carries,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0038543,Jaxon Smith-Njigba,SEA,ARI,0.0,14.733,7.233,14.922,26.25,0.452,4.0,1.0,10.376,0.208,0.974,0.107,0.0,0.0,0.326,0.711,1.0,11.0,0.0,0.9,0.458,10.294,0.206,0.806,0.392,27.25,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0036963,Amon-Ra St. Brown,DET,BUF,0.0,14.357,7.917,13.59,26.058,0.406,3.0,1.0,10.364,0.075,1.284,0.098,0.0,0.0,0.289,0.709,1.0,14.0,0.0,0.9,0.359,12.059,0.088,0.805,0.324,24.75,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0039075,Puka Nacua,LA,NYG,1.0,14.087,6.129,13.874,25.201,0.46,2.0,1.0,9.304,0.342,0.643,0.112,0.0,0.0,0.266,0.664,1.0,9.0,0.0,0.7,0.333,9.688,0.312,0.682,0.299,28.5,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
4,00-0036322,Justin Jefferson,MIN,CHI,0.0,12.289,6.166,12.005,22.195,0.291,7.0,1.0,9.639,0.051,0.707,0.083,0.0,0.0,0.275,0.714,1.0,9.0,0.0,0.92,0.391,8.647,0.059,0.817,0.333,21.0,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0036358,CeeDee Lamb,DAL,WAS,1.0,11.744,4.807,10.601,22.784,0.32,5.0,1.0,6.573,0.041,0.656,0.11,0.0,0.0,0.185,0.645,1.0,8.0,1.0,0.81,0.267,8.5,0.538,0.727,0.226,28.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0036554,Nico Collins,HOU,CIN,1.0,11.293,5.339,10.732,20.783,0.253,8.0,1.0,7.419,0.052,0.798,0.097,0.0,0.0,0.205,0.668,1.0,10.0,1.0,0.72,0.27,9.0,0.567,0.694,0.237,24.5,0.18,0.059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0037239,Chris Olave,NO,BAL,0.0,11.252,6.598,10.501,20.313,0.232,6.0,1.0,9.573,0.038,0.761,0.077,0.063,0.193,0.256,0.663,1.0,13.0,0.0,0.86,0.25,11.375,0.031,0.761,0.253,19.5,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0037247,George Pickens,DAL,WAS,1.0,10.983,4.189,10.315,21.509,0.265,9.0,2.0,7.563,0.002,0.886,0.11,0.0,0.0,0.213,0.804,1.0,6.0,0.0,0.84,0.2,7.029,0.0,0.822,0.206,28.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0037240,Jameson Williams,DET,BUF,0.0,10.898,4.743,10.231,21.544,0.245,23.0,2.0,6.403,0.174,0.398,0.098,0.0,0.0,0.179,0.773,1.0,9.0,0.0,0.84,0.231,7.5,0.176,0.807,0.205,24.75,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0034827,DJ Moore,BUF,DET,1.0,10.887,4.476,10.038,21.605,0.287,30.0,1.0,5.522,0.549,0.621,0.109,0.059,0.241,0.159,0.791,1.0,8.0,0.0,0.76,0.286,6.5,0.441,0.775,0.222,27.75,0.006,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
11,00-0037238,Drake London,ATL,CAR,1.0,10.863,4.23,10.5,21.445,0.257,10.0,1.0,7.039,0.003,0.772,0.091,0.0,0.0,0.203,0.894,1.0,4.0,1.0,0.98,0.211,6.667,0.5,0.937,0.207,23.0,0.119,0.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
